Product Name,Product Type,Price,Workflow Status,Source Artwork,Fulfillment Method,Sales Channels,Print File,Primary Mockup File,Mockup Image Full Set,Etsy Link,Etsy Listing ID,Etsy Shipping Profile,Etsy Status,Finish,Frame Color,Lovable Shipping Rate,Lovable Status,Margin %,Notes,Orientation,Printful Base Cost,Printful Product,Printful SKU,Shipping Cost,Shipping Model,Size,Total Cost,artwork_id,product_id,Mockup Status,Next Action,POC Product
Chapel Landscape Canvas Print – Morning Prayer by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Morning Prayer (https://app.notion.com/p/Morning-Prayer-36f70b21b17e81daa0a1e2d793d85da3?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0048,,,,No
Coastal Dune Sunset Canvas Print – Dune Light by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Sunset Boat Reflection Landscape Canvas Print – When the Water Remembered the Sky,Printful Print,$65.00,Imported - Pending Review,When the Water Remembered the Sky (https://app.notion.com/p/When-the-Water-Remembered-the-Sky-36f70b21b17e81aea882f59dae15c15f?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0036,,,,No
Coastal Cottage Ocean Landscape Canvas Print – Where the Air is Salt by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Where the Air is Salt (https://app.notion.com/p/Where-the-Air-is-Salt-36f70b21b17e81f3bf46e4afccc2e4e8?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0034,,,,No
Pink Sunset Marsh Landscape Canvas Print – Gilded No. 8 When the Sky Blushes,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Marsh Sunset Landscape Canvas Print – After the Sun Slows by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Coastal Docked Boats Canvas Print – Tied to the Light by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Tied to the Light (https://app.notion.com/p/Tied-to-the-Light-36f70b21b17e81c4b6d5f3a153db234d?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0040,,,,No
Farm Field Countryside Landscape Canvas Print – Tilled Light by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Tilled Light (https://app.notion.com/p/Tilled-Light-36f70b21b17e81e9a72ef270d567fa3c?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0038,,,,No
Colorful Sunset Seascape Canvas Print – The Sky Remembered You by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Red Barn Countryside Canvas Print – The Girl in the Yellow Coat by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,The Girl in the Yellow Coat (https://app.notion.com/p/The-Girl-in-the-Yellow-Coat-36f70b21b17e8124ac1cdb5205fa6358?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0042,,,,No
Deer and Fawn Forest Canvas Print – The Quiet Bond by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Stoneware Pottery Still Life Canvas Print – Sun on Stoneware by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Sun on Stoneware (https://app.notion.com/p/Sun-on-Stoneware-36f70b21b17e817bb039dc61d5417bd2?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0041,,,,No
Blue Mussel Shell Coastal Canvas Print – Sea Memory by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,Sea Memory (https://app.notion.com/p/Sea-Memory-36f70b21b17e8120b797cf5173d41afa?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0027,,,,No
Blue Mussel Shell Kitchen Art Canvas Print – The Mussels Were Perfect by Kaleigh Anderson,Printful Print,$85.00,Imported - Pending Review,The Mussels Were Perfect (https://app.notion.com/p/The-Mussels-Were-Perfect-36f70b21b17e81da88ceed881651c804?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0023,,,,No
Coastal Marsh Landscape Canvas Print – Where the Water Wanders by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Pastel Sunset Seascape Canvas Print – Gilded No. 12 by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Stormy Marsh Landscape Canvas Print – Gilded No. 11 by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Stormy Marsh (https://app.notion.com/p/Stormy-Marsh-36f70b21b17e812fb246cfad813a58ad?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0051,,,,No
Lemon Still Life Kitchen Canvas Print – Citrine Radiance by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Seagull Coastal Bird Canvas Print – At Ease by the Sea by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Lobster Fisherman Harbor Canvas Print – Hands of the Harbor by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Hands of the Harbor (https://app.notion.com/p/Hands-of-the-Harbor-36f70b21b17e8192ae87ecef1f41db65?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0017,,,,No
Lobster Buoy Harbor Canvas Print – Harbor Signals by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Lemon Still Life Kitchen Canvas Print – Citrine Silence by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Citrine Silence (https://app.notion.com/p/Citrine-Silence-36f70b21b17e811d82f7da6f2433cd1d?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0020,,,,No
Forsythia Flower Still Life Canvas Print – Forsythia Light by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Forsythia Light (https://app.notion.com/p/Forsythia-Light-36f70b21b17e8156a6eadb91f52a172c?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0058,,,,No
Coastal Cottage Ocean Canvas Print – By the Blue Door by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Coastal Stilt House Sunrise Canvas Print – Dockside Morning Marsh Landscape Wall Art,Printful Print,$85.00,Imported - Pending Review,,,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,,,,,No
Coastal Shell Still Life Canvas Print – Shore Memory by Kaleigh Anderson,Printful Print,$65.00,Imported - Pending Review,Shore Memory (https://app.notion.com/p/Shore-Memory-36f70b21b17e8127acc9eb46919493de?pvs=21),,Etsy,,,,,,,active,Floating Frame (Printful),,,,,Etsy import. Needs variant expansion + Etsy Listing ID.,,,,,,,,,AOA-ART-0012,,,,No
